name,park,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
509,21,19,1,41,4,3,2018.0,3,73,206.6904,4.0,73.943149,5741.4,100.0
186,20,19,1,3,7,3,2015.0,3,37,324.7992,0.0,95.069763,6600.9696,99.5
338,21,19,1,23,7,6,2007.0,13,76,104.9856,2.0,70.214923,4448.7648,99.2
587,71,19,1,41,4,3,2018.0,3,59,111.5472,3.0,54.059277,3359.5392,99.1
134,129,19,1,23,11,3,2006.0,2,97,180.444,0.0,70.214923,4399.5528,98.9
633,76,16,1,41,11,3,2016.0,3,99,187.0056,3.0,70.214923,4265.04,98.8
130,52,9,1,43,7,6,2006.0,3,73,249.3408,2.0,78.292746,3782.7624,98.8
313,34,19,1,41,11,3,2016.0,13,73,164.04,0.0,73.321778,3799.1664,98.8
585,131,19,1,41,4,3,2015.0,3,73,121.3896,2.0,57.166132,4986.816,98.8
461,114,15,1,3,7,3,2012.0,3,39,249.3408,0.0,83.263714,5131.1712,98.2
246,40,13,1,23,7,3,2018.0,3,40,252.6216,1.0,86.99194,4757.16,98.2
535,111,7,1,23,7,3,2016.0,13,73,98.424,0.0,72.700407,4330.656,98.1
623,132,19,1,41,4,3,2015.0,3,73,108.2664,3.0,55.302019,3320.1696,98.0
142,63,7,1,23,7,3,2001.0,2,65,173.8824,0.0,74.56452,4002.576,97.9
235,88,16,1,30,7,3,2014.0,13,63,134.5128,7.0,62.1371,4530.7848,97.8
638,128,19,1,41,7,3,2018.0,3,62,114.828,3.0,52.195164,1804.44,97.5
512,70,19,1,41,7,3,2016.0,3,73,101.7048,3.0,52.195164,2742.7488,97.3
383,125,19,1,41,4,3,2013.0,3,73,164.04,2.0,68.35081,0,97.1
586,133,19,1,41,4,3,2018.0,3,73,101.7048,3.0,50.331051,2401.5456,97.0
573,21,19,1,23,7,3,2003.0,12,77,419.9424,0.0,119.303232,2798.5224,96.9
308,82,13,1,51,7,8,2017.0,3,59,131.232,0.0,59.030245,2978.9664,96.8
208,130,19,1,41,11,3,2014.0,3,97,180.444,2.0,71.457665,3116.76,96.7
263,128,19,1,41,4,3,2013.0,3,73,180.444,1.0,70.214923,3267.6768,96.5
644,131,19,1,2,7,6,2002.0,3,73,173.8824,6.0,75.807262,3608.88,96.1
650,91,8,1,23,7,6,2009.0,13,76,180.444,3.0,74.56452,3280.8,95.9
281,91,8,1,3,7,6,2000.0,3,73,164.04,6.0,64.622584,3936.96,95.8
259,71,19,1,23,7,6,2010.0,2,36,305.1144,0.0,90.098795,5101.644,95.8
170,155,9,1,3,7,2,2016.0,3,73,124.6704,5.0,0,3687.6192,95.8
168,46,17,1,23,7,3,2016.0,2,73,206.6904,1.0,74.56452,4921.2,95.4
390,74,19,1,36,11,3,1985.0,3,74,78.7392,0.0,44.738712,3198.78,95.3
567,125,19,1,30,7,3,2018.0,13,56,98.424,3.0,49.70968,3018.336,95.2
345,21,19,1,23,7,3,2000.0,2,36,308.3952,0.0,93.20565,6594.408,95.2
329,121,19,1,3,7,3,2016.0,3,40,200.1288,0.0,71.457665,4757.16,94.9
221,17,19,1,3,7,6,2007.0,3,11,203.4096,2.0,74.56452,3116.76,94.6
